component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Active_Supply_Current_0h,Active_Supply_Current_24h,Propagation_Delay_0h,Propagation_Delay_24h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Fall_Time_0h,Output_Fall_Time_24h,IDDQ_168h,Input_Leakage_Current_168h,Active_Supply_Current_168h,Propagation_Delay_168h,Output_Rise_Time_168h,Output_Fall_Time_168h
C00058,A_L01,DIGITAL_CMOS,CMOS_A,1.522472,1.565721,0.017614,0.017659,87.148726,87.222025,9.213175,9.236821,7.941032,7.906961,8.04638,8.158694,1.55529,0.018568,87.796885,9.319103,8.008356,8.170517
C00059,A_L01,DIGITAL_CMOS,CMOS_A,1.587871,1.578761,0.021105,0.021599,88.601858,89.010838,9.776372,9.855645,7.945635,8.003382,8.223428,8.265792,1.615608,0.022017,88.615296,10.148101,8.318142,8.887421
C00060,A_L01,DIGITAL_CMOS,CMOS_A,1.486206,1.465917,0.019415,0.020147,86.623258,86.721169,8.539093,8.691971,7.473332,7.632053,7.289641,7.398698,1.509714,0.023764,90.170058,9.131392,7.934898,7.711343
C00061,A_L01,DIGITAL_CMOS,CMOS_A,1.701385,1.722746,0.017203,0.017931,86.525408,87.018219,9.204769,9.255417,7.379991,7.469867,7.370569,7.410492,1.767511,0.020588,90.108443,9.709843,7.854466,7.975416
C00062,A_L01,DIGITAL_CMOS,CMOS_A,1.373111,1.383893,0.019086,0.02002,89.032464,90.201187,9.634169,9.641604,8.398664,8.368345,8.479957,8.47654,1.412828,0.023949,92.425491,10.322901,8.651094,8.615922
C00063,A_L01,DIGITAL_CMOS,CMOS_A,1.62178,1.59747,0.02654,0.026916,85.719198,85.313578,9.270561,9.334716,8.116435,8.209842,7.549555,7.624619,1.652527,0.028098,86.102699,9.828666,8.538608,8.048473
C00064,A_L01,DIGITAL_CMOS,CMOS_A,1.903818,1.928759,0.028767,0.030209,86.572775,87.038174,8.783744,8.915985,7.328005,7.403229,7.306666,7.374136,1.968398,0.033367,89.04562,9.105393,7.615533,7.583216
C00065,A_L01,DIGITAL_CMOS,CMOS_A,1.477572,1.508861,0.017002,0.017979,91.067465,92.190833,9.42673,9.441381,8.381605,8.550846,7.776798,7.926965,1.597645,0.020326,95.100276,9.696083,8.843878,8.397467
C00066,A_L01,DIGITAL_CMOS,CMOS_A,1.658678,1.645331,0.011129,0.011207,86.918602,86.880524,8.815094,8.816093,7.058652,6.973664,8.071072,8.162229,1.684707,0.011152,88.121014,8.906337,6.992495,8.186752
C00067,A_L01,DIGITAL_CMOS,CMOS_A,2.161101,2.101985,0.019183,0.020064,83.970876,84.262121,9.137673,9.23411,7.31014,7.412892,7.334464,7.514807,2.256099,0.024467,86.065592,9.461122,7.523253,7.771509
C00068,A_L01,DIGITAL_CMOS,CMOS_A,1.418384,1.406345,0.01817,0.018997,86.996927,87.635249,8.700166,8.786876,8.072709,8.012171,7.828061,8.152429,1.474733,0.020737,90.153823,9.123923,8.323185,8.398648
C00069,A_L01,DIGITAL_CMOS,CMOS_A,1.498722,1.514798,0.02131,0.021833,89.693139,90.115973,9.030157,9.130288,7.492512,7.491166,7.514402,7.454414,1.50096,0.022212,90.75346,9.163332,7.546812,7.584216
C00070,A_L01,DIGITAL_CMOS,CMOS_A,1.053924,1.0502,0.019451,0.020351,88.576645,89.923666,9.209501,9.307035,8.127475,8.19267,7.889139,7.934418,1.103454,0.021743,91.161926,9.623705,8.499273,8.265649
C00071,A_L01,DIGITAL_CMOS,CMOS_A,1.315257,1.318211,0.032109,0.032875,81.881175,82.792719,8.798065,8.882476,7.373704,7.390199,7.248951,7.26029,1.369788,0.041242,94.972039,8.921458,7.459384,7.397131
C00072,A_L01,DIGITAL_CMOS,CMOS_A,1.861943,1.894534,0.024871,0.026837,82.905759,82.754052,8.841558,8.901276,8.00876,7.941293,7.76882,7.814864,1.935502,0.029359,85.785726,8.898208,8.122234,7.900503
C00073,A_L01,DIGITAL_CMOS,CMOS_A,1.885671,1.947523,0.02743,0.027428,89.31096,89.651802,9.998169,10.072598,8.16522,8.250153,8.288175,8.276286,1.905294,0.027435,89.974083,10.514375,8.4849,8.684099
C00074,A_L01,DIGITAL_CMOS,CMOS_A,1.261513,1.283856,0.023871,0.024407,86.713157,86.41745,9.523782,9.561486,8.353875,8.386572,7.89484,7.808613,1.259231,0.025119,87.27058,9.672412,8.369267,7.961453
C00075,A_L01,DIGITAL_CMOS,CMOS_A,1.398972,1.374756,0.012896,0.012923,84.26721,83.631672,8.890007,9.030472,7.630595,7.68972,7.085218,7.175803,1.38095,0.013218,84.117826,9.241566,7.850289,7.369417
C00076,A_L01,DIGITAL_CMOS,CMOS_A,1.680142,1.68942,0.021846,0.023076,84.34467,85.167373,8.996116,9.068222,7.840084,7.869211,7.467531,7.406647,1.690047,0.024813,86.666026,9.72078,8.264124,7.865579
C00077,A_L01,DIGITAL_CMOS,CMOS_A,1.359869,1.328988,0.0175,0.017422,82.861258,82.847793,9.694771,9.698391,8.173339,8.22765,7.975215,8.056778,1.339274,0.018155,84.367763,9.82198,8.327981,8.071703
C00078,A_L01,DIGITAL_CMOS,CMOS_A,1.961692,1.988006,0.026402,0.02707,89.968189,90.427546,9.618101,9.645054,8.429363,8.437538,8.361022,8.514046,1.975716,0.027879,90.803013,9.7027,8.51792,8.533652
C00079,A_L02,DIGITAL_CMOS,CMOS_A,1.808318,1.825099,0.022752,0.023228,93.983999,95.510402,9.625321,9.649219,8.387068,8.363922,8.029663,8.087771,1.880584,0.024031,96.974933,9.679712,8.354311,8.101854
C00080,A_L02,DIGITAL_CMOS,CMOS_A,1.853336,1.898064,0.03245,0.032623,93.975817,95.75738,8.614862,8.665641,7.572506,7.57831,7.367076,7.409488,1.895148,0.033723,96.85749,8.809414,7.743606,7.522346
C00081,A_L02,DIGITAL_CMOS,CMOS_A,1.45605,1.45103,0.016456,0.016771,96.195313,96.763356,9.31577,9.35793,8.757214,8.801599,8.327217,8.27537,1.502416,0.017273,97.135474,9.354036,8.780094,8.353931
C00082,A_L02,DIGITAL_CMOS,CMOS_A,1.406538,1.386739,0.01469,0.014699,96.261171,97.592957,9.377377,9.413764,7.94284,8.046644,7.382368,7.476627,1.390781,0.014548,96.63496,9.579595,8.155244,7.561481
C00083,A_L02,DIGITAL_CMOS,CMOS_A,1.241636,1.245324,0.017312,0.01737,104.151149,103.830865,9.056743,9.063878,8.101118,8.038902,7.455175,7.445858,1.247952,0.017966,105.250424,9.060736,8.086328,7.544696
C00084,A_L02,DIGITAL_CMOS,CMOS_A,1.203511,1.216498,0.015592,0.015557,99.387432,99.30076,9.086282,9.160487,8.046681,8.018849,7.530346,7.547294,1.25932,0.015979,100.712549,9.181735,8.049405,7.613839
C00085,A_L02,DIGITAL_CMOS,CMOS_A,1.479913,1.452313,0.015012,0.015519,95.34954,96.612384,9.654808,9.750633,8.33722,8.48696,7.446325,7.442638,1.547901,0.015988,97.455925,9.925385,8.541117,7.554264
C00086,A_L02,DIGITAL_CMOS,CMOS_A,2.038399,2.073874,0.02254,0.02247,95.453767,95.040422,8.773452,8.841903,8.144293,8.210079,8.092557,8.050206,2.028754,0.022415,95.856216,8.946115,8.414891,8.155134
C00087,A_L02,DIGITAL_CMOS,CMOS_A,1.250884,1.246323,0.015101,0.014828,84.628627,84.961536,9.069076,9.085624,8.001927,8.042322,7.839954,7.820629,1.281364,0.014495,85.903895,9.332389,8.390134,8.0747
C00088,A_L02,DIGITAL_CMOS,CMOS_A,1.665015,1.635905,0.019974,0.020034,97.543587,97.518239,8.837131,8.861678,8.154184,8.179458,7.087297,7.161978,1.673004,0.01986,98.71464,8.961288,8.21774,7.246299
C00089,A_L02,DIGITAL_CMOS,CMOS_A,1.695565,1.693573,0.013806,0.013905,96.213139,95.677134,8.886002,8.938789,8.161119,8.203047,7.165914,7.232798,1.689033,0.014301,96.020125,9.132098,8.483163,7.432771
C00090,A_L02,DIGITAL_CMOS,CMOS_A,1.881293,1.900909,0.024572,0.0254,93.640892,93.828752,9.026143,9.129392,7.850349,7.841766,7.353639,7.382143,1.957222,0.02719,95.398827,9.23495,7.984142,7.518243
C00091,A_L02,DIGITAL_CMOS,CMOS_A,1.450495,1.421263,0.016447,0.016698,101.609122,102.009507,9.174643,9.313606,8.504052,8.474292,7.244906,7.1708,1.45962,0.017484,104.936744,9.278151,8.603461,7.32579
C00092,A_L02,DIGITAL_CMOS,CMOS_A,1.482284,1.474467,0.012872,0.013347,95.204716,96.286822,8.997223,9.074933,7.871742,7.969031,7.485843,7.556294,1.508628,0.01382,98.35723,9.213936,8.061396,7.800412
C00093,A_L02,DIGITAL_CMOS,CMOS_A,1.54807,1.561921,0.033634,0.034162,97.793006,98.121457,8.792366,8.781943,8.405352,8.356441,7.580145,7.516664,1.547543,0.036043,99.675534,8.763701,8.460439,7.592361
C00094,A_L02,DIGITAL_CMOS,CMOS_A,1.648549,1.659697,0.025369,0.025824,94.23595,93.596797,9.356417,9.359739,7.74426,7.689148,7.671867,7.661093,1.661182,0.025877,94.548726,9.329723,7.69471,7.749152
C00095,A_L02,DIGITAL_CMOS,CMOS_A,2.111444,2.093684,0.020069,0.020251,92.192537,92.112062,8.878632,8.92088,8.120083,8.093665,7.406341,7.449323,2.115048,0.020963,93.301544,9.050934,8.305479,7.488958
C00096,A_L02,DIGITAL_CMOS,CMOS_A,1.152655,1.183744,0.0154,0.015833,101.549056,101.31684,9.072316,9.095472,7.693583,7.705235,7.834241,7.8178,1.172894,0.023576,105.481731,9.062195,7.803231,7.80328
C00097,A_L02,DIGITAL_CMOS,CMOS_A,1.544468,1.584174,0.018412,0.019123,87.114517,87.994818,8.732136,8.755133,7.556186,7.596176,7.390851,7.366596,1.609225,0.020372,90.922942,8.821139,7.589028,7.531885
C00098,A_L02,DIGITAL_CMOS,CMOS_A,1.723788,1.710986,0.025912,0.025629,97.654899,99.322247,8.968666,9.044253,7.824104,7.800598,7.323784,7.376862,1.782185,0.027689,99.70847,9.055959,7.823928,7.469685
C00099,A_L02,DIGITAL_CMOS,CMOS_A,1.437421,1.414536,0.012229,0.012127,99.890834,99.72198,8.5929,8.653925,7.439035,7.442095,7.419914,7.405504,1.440374,0.012425,100.737031,8.658698,7.52235,7.478345
C00100,A_L02,DIGITAL_CMOS,CMOS_A,1.745983,1.730349,0.0154,0.015604,102.189777,100.863276,8.86322,8.844885,7.42289,7.374158,7.042627,7.038885,1.707186,0.015721,101.613852,8.936452,7.430363,7.053877
C00101,A_L02,DIGITAL_CMOS,CMOS_A,1.616602,1.654823,0.016535,0.016751,100.348767,100.226549,9.044023,9.139061,7.777578,7.807907,7.213957,7.317797,1.706581,0.018052,102.019814,9.27356,8.100695,7.500204
C00102,A_L02,DIGITAL_CMOS,CMOS_A,1.412683,1.438583,0.013466,0.013547,90.89653,91.102378,8.969485,8.997848,8.010786,8.000732,7.232293,7.268618,1.449922,0.014033,92.04794,9.037182,8.050583,7.375896
C00103,A_L02,DIGITAL_CMOS,CMOS_A,1.692009,1.705385,0.023233,0.023624,99.096995,99.208132,8.562882,8.562141,7.165913,7.162486,7.060254,7.077712,1.745308,0.025497,100.911009,8.659052,7.210378,7.207337
C00104,A_L02,DIGITAL_CMOS,CMOS_A,1.96378,1.948922,0.022619,0.023661,95.918751,97.071661,9.303096,9.340001,7.87029,7.925774,7.166332,7.235134,2.022444,0.024522,99.054688,9.43541,7.973752,7.222243
C00105,A_L02,DIGITAL_CMOS,CMOS_A,1.393403,1.347132,0.015397,0.015509,96.868151,97.415983,8.825033,8.866616,7.606835,7.773926,7.3822,7.403811,1.371391,0.015748,98.506063,9.018678,7.907242,7.641154
C00106,A_L02,DIGITAL_CMOS,CMOS_A,1.100809,1.085457,0.020975,0.021254,97.187069,97.16447,9.345382,9.466744,8.22496,8.161217,7.588151,7.554363,1.122858,0.022275,99.32755,9.466366,8.319608,7.612735
C00107,A_L02,DIGITAL_CMOS,CMOS_A,1.366646,1.381714,0.01328,0.013503,99.710995,100.581182,8.590349,8.735246,7.816204,7.892356,7.244477,7.346563,1.421447,0.014144,101.848844,19.793412,8.084668,8.583094
C00108,A_L02,DIGITAL_CMOS,CMOS_A,1.85194,1.84157,0.019695,0.019592,99.537327,99.813053,8.357275,8.464446,7.917574,7.949237,7.09347,7.201648,1.864096,0.019796,100.901131,8.669475,8.083922,7.336872
C00109,A_L02,DIGITAL_CMOS,CMOS_A,1.250669,1.231721,0.019659,0.020143,97.179633,96.963299,8.626282,8.66786,7.408861,7.374441,7.067512,7.078799,1.2974,0.021012,97.300615,8.964732,7.754953,7.302789
C00110,A_L02,DIGITAL_CMOS,CMOS_A,1.197534,1.217765,0.019395,0.019752,95.873188,97.668312,8.806883,8.810831,7.95981,7.996205,7.018423,7.017731,1.236396,0.019992,97.975706,8.896622,7.988414,7.100533
C00111,A_L02,DIGITAL_CMOS,CMOS_A,1.33511,1.344866,0.020772,0.021008,88.85143,89.619069,9.133746,9.086753,7.801126,7.800091,7.577257,7.512713,1.396717,0.021994,90.25247,9.126896,7.855886,7.589786
C00112,A_L02,DIGITAL_CMOS,CMOS_A,1.4724,1.482743,0.016684,0.016859,94.221522,93.909453,9.325421,9.297102,8.046252,8.091606,7.664834,7.696849,1.530153,0.017461,96.564084,9.319699,8.198303,7.73625
C00113,A_L02,DIGITAL_CMOS,CMOS_A,1.57474,1.569924,0.024513,0.025136,88.499171,88.211462,9.582617,9.617786,8.23935,8.308406,8.045668,8.097239,1.674832,0.026415,90.51881,9.724001,8.338911,8.090764
C00114,A_L02,DIGITAL_CMOS,CMOS_A,1.501305,1.485064,0.017999,0.018367,92.252776,91.956695,8.934895,8.913833,8.13451,8.131813,7.585352,7.572675,1.510751,0.019344,91.91227,9.016432,8.194399,7.717324
