component_id,lot_id,device_variant,disposition_A,risk_A,driving_parameter,n_params_flagged,confidence,reason_code,reason_text
C0230,L005,CMOS_A,PASS,0.2667889295811025,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0231,L005,CMOS_A,PASS,0.27925752997265146,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0232,L005,CMOS_A,PASS,0.2086236162994449,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0233,L005,CMOS_A,PASS,0.1669474363966937,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0234,L005,CMOS_A,PASS,0.2063196769394695,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0235,L005,CMOS_A,PASS,0.25355079535378733,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0236,L005,CMOS_A,MONITOR,0.3856352601616171,Output_Fall_Time_0h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.
C0237,L005,CMOS_A,PASS,0.10956010415038442,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0238,L005,CMOS_A,PASS,0.1718844178492402,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0239,L005,CMOS_A,PASS,0.14642215995241828,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0240,L005,CMOS_A,PASS,0.1862510216718487,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0241,L005,CMOS_A,PASS,0.2025546993324025,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0242,L005,CMOS_A,PASS,0.18401859731772593,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0243,L005,CMOS_A,PASS,0.2730761890170031,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0244,L005,CMOS_A,PASS,0.29213141446628865,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0245,L005,CMOS_A,PASS,0.15110442326991932,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0246,L005,CMOS_A,PASS,0.1866344588677979,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0247,L005,CMOS_A,PASS,0.11283594148296097,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0248,L005,CMOS_A,PASS,0.2677378403862908,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0249,L005,CMOS_A,PASS,0.15664160401002508,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0250,L005,CMOS_A,PASS,0.21163240684452153,Supply_Current_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0251,L005,CMOS_A,PASS,0.2642208400777936,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0252,L005,CMOS_A,PASS,0.2664987934109745,Input_Leakage_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0253,L005,CMOS_A,PASS,0.21227774022454254,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0254,L005,CMOS_A,PASS,0.2828451625086082,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0255,L005,CMOS_A,PASS,0.22731902484678662,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0256,L005,CMOS_A,PASS,0.2394316215246443,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0257,L005,CMOS_A,PASS,0.28785671455298795,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0258,L005,CMOS_A,PASS,0.17960357893985118,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0259,L005,CMOS_A,PASS,0.20547054776173374,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0260,L005,CMOS_A,REJECT,1.0,IDDQ_96h,13,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0261,L005,CMOS_A,PASS,0.21786044421462253,Supply_Current_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0262,L005,CMOS_A,PASS,0.19280610210019736,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0263,L005,CMOS_A,REJECT,1.0,Output_Rise_Time_168h,11,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0264,L005,CMOS_A,PASS,0.13662675935237265,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0265,L005,CMOS_A,REJECT,0.408991211635215,Input_Leakage_96h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0266,L005,CMOS_A,REJECT,0.36198297382910655,Output_Fall_Time_96h,2,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0267,L005,CMOS_A,REJECT,0.4134878166983923,Input_Leakage_96h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0268,L005,CMOS_A,PASS,0.20805506219814274,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0269,L005,CMOS_A,PASS,0.22404093350511772,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0270,L005,CMOS_A,PASS,0.25108394729690986,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0271,L005,CMOS_A,PASS,0.19533713098576352,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0272,L005,CMOS_A,MONITOR,0.3212344891475797,Input_Leakage_24h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.
C0273,L005,CMOS_A,PASS,0.16330113054092837,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0274,L006,CMOS_A,PASS,0.2026066236116623,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0275,L006,CMOS_A,PASS,0.17241852531209073,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0276,L006,CMOS_A,PASS,0.23028626318164164,Output_Rise_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0277,L006,CMOS_A,PASS,0.24517223403481694,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0278,L006,CMOS_A,PASS,0.277702372597231,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0279,L006,CMOS_A,PASS,0.23926366037190322,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0280,L006,CMOS_A,REJECT,0.437866233628899,IDDQ_24h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0281,L006,CMOS_A,PASS,0.17774729429929761,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0282,L006,CMOS_A,PASS,0.17164220524263787,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0283,L006,CMOS_A,PASS,0.1484679174981491,Output_Rise_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0284,L006,CMOS_A,PASS,0.1451350797912219,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0285,L006,CMOS_A,PASS,0.20821134007407305,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0286,L006,CMOS_A,PASS,0.22258806568402698,Supply_Current_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0287,L006,CMOS_A,PASS,0.17482970004818973,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0288,L006,CMOS_A,PASS,0.21936883295948212,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0289,L006,CMOS_A,PASS,0.11982720727438952,Output_Rise_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0290,L006,CMOS_A,PASS,0.19283212483155843,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0291,L006,CMOS_A,PASS,0.18987050865306374,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0292,L006,CMOS_A,MONITOR,0.3089584956398044,IDDQ_0h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0293,L006,CMOS_A,PASS,0.17376320154119668,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0294,L006,CMOS_A,REJECT,1.0,Propagation_Delay_168h,9,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0295,L006,CMOS_A,MONITOR,0.3121030140544423,Output_Fall_Time_96h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0296,L006,CMOS_A,PASS,0.25811051674777663,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0297,L006,CMOS_A,REJECT,0.3597001843582279,Output_Rise_Time_0h,5,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0298,L006,CMOS_A,PASS,0.22095741495658577,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0299,L006,CMOS_A,MONITOR,0.34435831472759737,IDDQ_0h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.
C0300,L006,CMOS_A,PASS,0.29452536707187776,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0301,L006,CMOS_A,REJECT,1.0,Propagation_Delay_96h,13,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0302,L006,CMOS_A,PASS,0.18164126592538424,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0303,L006,CMOS_A,PASS,0.1954641231990142,Supply_Current_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0304,L006,CMOS_A,REJECT,0.3068919581710526,Supply_Current_168h,2,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0305,L006,CMOS_A,PASS,0.2131084361418299,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0306,L006,CMOS_A,PASS,0.0971267661213019,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0307,L006,CMOS_A,PASS,0.14321979113561473,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0308,L006,CMOS_A,PASS,0.10248860418274575,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0309,L006,CMOS_A,PASS,0.20736077694333116,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0310,L006,CMOS_A,REJECT,1.0,IDDQ_0h,13,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0311,L006,CMOS_A,PASS,0.19262732571982272,IDDQ_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0312,L006,CMOS_A,PASS,0.15548773154358742,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0313,L006,CMOS_A,PASS,0.14927332545649888,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0314,L006,CMOS_A,REJECT,0.34774831646777515,Output_Rise_Time_0h,3,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0315,L006,CMOS_A,PASS,0.19244610374485321,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0316,L006,CMOS_A,PASS,0.2905061178756782,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0317,L006,CMOS_A,REJECT,0.3560802115225242,Output_Rise_Time_168h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0318,L006,CMOS_A,PASS,0.18567760574637135,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0319,L006,CMOS_A,PASS,0.17423326909112352,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0320,L006,CMOS_A,PASS,0.1769418641068722,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0321,L006,CMOS_A,PASS,0.201909665318601,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0322,L006,CMOS_A,REJECT,1.0,IDDQ_168h,6,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0323,L006,CMOS_A,PASS,0.24585334176592782,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0324,L006,CMOS_A,PASS,0.28976857694509,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0325,L006,CMOS_A,REJECT,1.0,Supply_Current_168h,9,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0326,L006,CMOS_A,PASS,0.13030487243947195,Supply_Current_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0327,L006,CMOS_A,PASS,0.18092233113021944,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0328,L006,CMOS_A,PASS,0.2709275183558314,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0329,L006,CMOS_A,PASS,0.21636262024768707,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0330,L006,CMOS_A,PASS,0.14542399318332347,Propagation_Delay_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0331,L006,CMOS_A,PASS,0.16847755176048,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0332,L006,CMOS_A,PASS,0.15761748358741978,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0333,L006,CMOS_A,PASS,0.16945568833709818,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0538,L011,CMOS_B,PASS,0.2681544710336527,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0539,L011,CMOS_B,PASS,0.2264781761348086,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0540,L011,CMOS_B,PASS,0.17034920205210935,Input_Leakage_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0541,L011,CMOS_B,PASS,0.13071030011725235,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0542,L011,CMOS_B,PASS,0.23629830771990296,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0543,L011,CMOS_B,PASS,0.1975370718720681,Input_Leakage_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0544,L011,CMOS_B,REJECT,1.0,Output_Rise_Time_168h,9,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0545,L011,CMOS_B,PASS,0.18596981643076732,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0546,L011,CMOS_B,PASS,0.12380209319043749,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0547,L011,CMOS_B,REJECT,1.0,IDDQ_168h,12,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0548,L011,CMOS_B,REJECT,1.0,Output_Fall_Time_24h,15,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0549,L011,CMOS_B,PASS,0.15082114329940846,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0550,L011,CMOS_B,PASS,0.17311162154484613,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0551,L011,CMOS_B,PASS,0.17150109286715473,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0552,L011,CMOS_B,REJECT,1.0,IDDQ_168h,10,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0553,L011,CMOS_B,PASS,0.2222829153151936,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0554,L011,CMOS_B,PASS,0.19936750295240502,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0555,L011,CMOS_B,PASS,0.20710481885621937,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0556,L011,CMOS_B,PASS,0.2217329433798297,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0557,L011,CMOS_B,REJECT,1.0,Input_Leakage_168h,9,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0558,L011,CMOS_B,PASS,0.23751481260808127,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0559,L011,CMOS_B,MONITOR,0.30708896694258625,Output_Fall_Time_24h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.
C0560,L011,CMOS_B,PASS,0.24502772238576714,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0561,L011,CMOS_B,PASS,0.1726546734479804,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0562,L011,CMOS_B,PASS,0.2238112127087315,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0563,L011,CMOS_B,PASS,0.20305271738537867,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0564,L011,CMOS_B,PASS,0.12267263415060622,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0565,L011,CMOS_B,PASS,0.12200686092921305,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0566,L011,CMOS_B,PASS,0.20091254210890974,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0567,L011,CMOS_B,MONITOR,0.3046837568670139,Input_Leakage_0h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0568,L011,CMOS_B,PASS,0.15515972737000466,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0569,L011,CMOS_B,PASS,0.14800737668765496,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0570,L011,CMOS_B,PASS,0.23087170755607112,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0571,L011,CMOS_B,PASS,0.22101428065787165,Supply_Current_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0572,L011,CMOS_B,PASS,0.24901485988020938,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0573,L011,CMOS_B,PASS,0.19947769707046412,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0574,L011,CMOS_B,PASS,0.1530330724622096,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0575,L011,CMOS_B,PASS,0.24795327238458548,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0576,L011,CMOS_B,PASS,0.27425907269656535,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0577,L011,CMOS_B,REJECT,1.0,Input_Leakage_168h,7,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0578,L011,CMOS_B,PASS,0.20127376774832095,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0579,L011,CMOS_B,PASS,0.16892787137390647,Propagation_Delay_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0580,L011,CMOS_B,PASS,0.21487501183832877,Output_Fall_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0581,L011,CMOS_B,REJECT,0.34365122501174483,Output_Fall_Time_24h,3,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.
C0582,L011,CMOS_B,PASS,0.216611575964686,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0583,L011,CMOS_B,PASS,0.1938401787899067,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0584,L012,CMOS_B,PASS,0.17496454375782905,Supply_Current_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0585,L012,CMOS_B,PASS,0.19661587463126068,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0586,L012,CMOS_B,PASS,0.135598095136285,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0587,L012,CMOS_B,PASS,0.2243840981561406,Input_Leakage_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
C0588,L012,CMOS_B,REJECT,1.0,Output_Fall_Time_168h,12,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.
C0589,L012,CMOS_B,PASS,0.2913145307780211,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.
