component_id,lot_id_A,device_variant_A,disposition_A,risk_A,driving_parameter_A,n_params_flagged_A,confidence_A,reason_code_A,reason_text_A,disposition_B,risk_B,driving_parameter_B,driving_headroom_frac,n_params_flagged_B,confidence_B,extrapolation_flag,reason_code_B,reason_text_B,final_decision
C0243,L005,CMOS_A,PASS,0.2730761890170031,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1642,Supply_Current_ICC_uA,0.8358,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0244,L005,CMOS_A,PASS,0.2921314144662886,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1663,Supply_Current_ICC_uA,0.8337,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0245,L005,CMOS_A,PASS,0.1511044232699193,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0,IDDQ_uA,1.0002,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0246,L005,CMOS_A,PASS,0.1866344588677979,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0668,Supply_Current_ICC_uA,0.9332,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0247,L005,CMOS_A,PASS,0.1128359414829609,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1281,Supply_Current_ICC_uA,0.8719,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0248,L005,CMOS_A,PASS,0.2677378403862908,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0,Input_Leakage_Current_uA,1.0014,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0249,L005,CMOS_A,PASS,0.156641604010025,Input_Leakage_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0462,Output_Rise_Time_ns,0.9538,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0250,L005,CMOS_A,PASS,0.2116324068445215,Supply_Current_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2321,Supply_Current_ICC_uA,0.7679,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0251,L005,CMOS_A,PASS,0.2642208400777936,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0033,IDDQ_uA,0.9967,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0252,L005,CMOS_A,PASS,0.2664987934109745,Input_Leakage_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.04,Output_Rise_Time_ns,0.96,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0253,L005,CMOS_A,PASS,0.2122777402245425,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0673,Supply_Current_ICC_uA,0.9327,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0254,L005,CMOS_A,PASS,0.2828451625086082,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0518,Output_Fall_Time_ns,0.9482,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0255,L005,CMOS_A,PASS,0.2273190248467866,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1684,Supply_Current_ICC_uA,0.8316,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0256,L005,CMOS_A,PASS,0.2394316215246443,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1598,Supply_Current_ICC_uA,0.8402,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0257,L005,CMOS_A,PASS,0.2878567145529879,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0321,Propagation_Delay_ns,0.9679,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0258,L005,CMOS_A,PASS,0.1796035789398511,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0775,Output_Rise_Time_ns,0.9225,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0259,L005,CMOS_A,PASS,0.2054705477617337,Output_Rise_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0082,Input_Leakage_Current_uA,0.9918,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0260,L005,CMOS_A,REJECT,1.0,IDDQ_96h,13,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,MONITOR,0.9448,Supply_Current_ICC_uA,0.0552,3,LOW,True,B_MARGIN_LOW,Predicted 168 h Supply_Current_ICC_uA leaves only 5.5% of the headroom between the lot baseline and the 700.0 uA limit.,REJECT
C0261,L005,CMOS_A,PASS,0.2178604442146225,Supply_Current_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0204,Output_Fall_Time_ns,0.9796,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0262,L005,CMOS_A,PASS,0.1928061021001973,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.065,Supply_Current_ICC_uA,0.935,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0263,L005,CMOS_A,REJECT,1.0,Output_Rise_Time_168h,11,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,PASS,0.1209,Supply_Current_ICC_uA,0.8791,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,REJECT
C0264,L005,CMOS_A,PASS,0.1366267593523726,Propagation_Delay_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0091,Input_Leakage_Current_uA,0.9909,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0265,L005,CMOS_A,REJECT,0.408991211635215,Input_Leakage_96h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.1917,Supply_Current_ICC_uA,0.8083,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,REJECT
C0266,L005,CMOS_A,REJECT,0.3619829738291065,Output_Fall_Time_96h,2,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.0997,Output_Rise_Time_ns,0.9529,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",REJECT
C0267,L005,CMOS_A,REJECT,0.4134878166983923,Input_Leakage_96h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.1196,Supply_Current_ICC_uA,0.8804,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,REJECT
C0268,L005,CMOS_A,PASS,0.2080550621981427,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0333,Supply_Current_ICC_uA,0.9667,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0269,L005,CMOS_A,PASS,0.2240409335051177,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2551,Supply_Current_ICC_uA,0.7449,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0270,L005,CMOS_A,PASS,0.2510839472969098,Output_Fall_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.099,Supply_Current_ICC_uA,0.901,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0271,L005,CMOS_A,PASS,0.1953371309857635,Propagation_Delay_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0371,Output_Rise_Time_ns,0.9629,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0272,L005,CMOS_A,MONITOR,0.3212344891475797,Input_Leakage_24h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.,PASS,0.0726,Supply_Current_ICC_uA,0.9274,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,MONITOR
C0273,L005,CMOS_A,PASS,0.1633011305409283,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0956,Supply_Current_ICC_uA,0.9044,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0274,L006,CMOS_A,PASS,0.2026066236116623,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1121,Output_Rise_Time_ns,0.9774,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0275,L006,CMOS_A,PASS,0.1724185253120907,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.158,Output_Rise_Time_ns,0.9857,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0276,L006,CMOS_A,PASS,0.2302862631816416,Output_Rise_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0589,Output_Rise_Time_ns,0.9411,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0277,L006,CMOS_A,PASS,0.2451722340348169,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0335,Propagation_Delay_ns,0.9665,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0278,L006,CMOS_A,PASS,0.277702372597231,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1698,Output_Rise_Time_ns,0.9595,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0279,L006,CMOS_A,PASS,0.2392636603719032,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2107,Supply_Current_ICC_uA,0.7893,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0280,L006,CMOS_A,REJECT,0.437866233628899,IDDQ_24h,4,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.1622,Supply_Current_ICC_uA,0.8378,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,REJECT
C0281,L006,CMOS_A,PASS,0.1777472942992976,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0108,Output_Fall_Time_ns,0.9892,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0282,L006,CMOS_A,PASS,0.1716422052426378,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0513,Output_Rise_Time_ns,0.9879,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0283,L006,CMOS_A,PASS,0.1484679174981491,Output_Rise_Time_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0214,Input_Leakage_Current_uA,0.9786,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0284,L006,CMOS_A,PASS,0.1451350797912219,Output_Fall_Time_168h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0369,Output_Rise_Time_ns,0.969,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0285,L006,CMOS_A,PASS,0.208211340074073,Output_Fall_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0142,Input_Leakage_Current_uA,0.9858,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0286,L006,CMOS_A,PASS,0.2225880656840269,Supply_Current_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0499,Output_Fall_Time_ns,0.9501,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0287,L006,CMOS_A,PASS,0.1748297000481897,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.135,Output_Rise_Time_ns,0.9603,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0288,L006,CMOS_A,PASS,0.2193688329594821,Input_Leakage_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0556,Supply_Current_ICC_uA,0.9444,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0289,L006,CMOS_A,PASS,0.1198272072743895,Output_Rise_Time_96h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0395,Output_Rise_Time_ns,0.9605,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0290,L006,CMOS_A,PASS,0.1928321248315584,Propagation_Delay_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0369,Propagation_Delay_ns,0.9631,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0291,L006,CMOS_A,PASS,0.1898705086530637,Supply_Current_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0344,Output_Rise_Time_ns,0.9656,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0292,L006,CMOS_A,MONITOR,0.3089584956398044,IDDQ_0h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.0821,Supply_Current_ICC_uA,0.9179,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,MONITOR
C0293,L006,CMOS_A,PASS,0.1737632015411966,IDDQ_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0495,Output_Rise_Time_ns,0.9725,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0294,L006,CMOS_A,REJECT,1.0,Propagation_Delay_168h,9,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,PASS,0.0455,Propagation_Delay_ns,0.9545,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,REJECT
C0295,L006,CMOS_A,MONITOR,0.3121030140544423,Output_Fall_Time_96h,1,MEDIUM,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.0898,Output_Rise_Time_ns,0.9354,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0296,L006,CMOS_A,PASS,0.2581105167477766,Output_Rise_Time_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0715,Supply_Current_ICC_uA,0.9285,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0297,L006,CMOS_A,REJECT,0.3597001843582279,Output_Rise_Time_0h,5,HIGH,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.1268,Output_Rise_Time_ns,0.8778,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",REJECT
C0298,L006,CMOS_A,PASS,0.2209574149565857,Input_Leakage_0h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1603,Output_Rise_Time_ns,0.9801,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0299,L006,CMOS_A,MONITOR,0.3443583147275973,IDDQ_0h,1,MEDIUM,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.,MONITOR,0.0508,Output_Rise_Time_ns,0.9635,1,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",MONITOR
C0300,L006,CMOS_A,PASS,0.2945253670718777,IDDQ_24h,0,LOW,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0886,Supply_Current_ICC_uA,0.9114,0,NOMINAL,False,B_OK,All six parameters are predicted to stay within limits with margin.,PASS
C0301,L006,CMOS_A,REJECT,1.0,Propagation_Delay_96h,13,HIGH,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,MONITOR,0.6608,Propagation_Delay_ns,0.3392,3,LOW,True,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Propagation_Delay_ns is within limits, but the 0 h input lies outside the training envelope.",REJECT
