component_id,lot_id,device_variant,final_decision,module_A_decision,module_A_risk,module_A_reason_code,module_A_reason,module_B_decision,module_B_risk,module_B_reason_code,module_B_reason,driving_parameter,unit,value_0h,value_24h,predicted_168h,prediction_lower,prediction_upper,spec_limit,limit_direction,headroom_abs,headroom_frac,confidence_A,confidence_B,extrapolation_flag,explanation
C0228,L005,CMOS_A,MONITOR,MONITOR,0.3098734057970411,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.0857,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.66057,8.89502,9.13017,,,22.0,UPPER,12.86983,0.9143,MEDIUM,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0229,L005,CMOS_A,PASS,PASS,0.2385808620854091,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.064,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,8.53817,8.28588,8.58793,,,22.0,UPPER,13.41207,0.936,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0230,L005,CMOS_A,PASS,PASS,0.2667889295811025,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0312,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,371.882,356.048,371.83418,,,700.0,UPPER,328.16582,0.9688,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0231,L005,CMOS_A,MONITOR,PASS,0.2792575299726514,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1516,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.59772,8.80931,9.04219,,,22.0,UPPER,12.95781,0.9206,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0232,L005,CMOS_A,PASS,PASS,0.2086236162994449,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0331,B_OK,All six parameters are predicted to stay within limits with margin.,Propagation_Delay_ns,ns,9.46984,9.6068,9.73342,,,27.0,UPPER,17.26658,0.9669,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0233,L005,CMOS_A,PASS,PASS,0.1669474363966937,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0551,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,8.27787,8.23144,8.46143,,,22.0,UPPER,13.53857,0.9449,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0234,L005,CMOS_A,PASS,PASS,0.2063196769394695,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0696,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,8.42094,8.46953,8.66827,,,22.0,UPPER,13.33173,0.9304,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0235,L005,CMOS_A,PASS,PASS,0.2535507953537873,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2057,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,401.888,421.88,430.93525,,,700.0,UPPER,269.06475,0.7943,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0236,L005,CMOS_A,MONITOR,MONITOR,0.3856352601616171,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.,PASS,0.0819,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,8.58705,8.64898,8.84444,,,22.0,UPPER,13.15556,0.9181,MEDIUM,NOMINAL,False,Final decision is MONITOR because at least one module identified a condition requiring attention. Module A: Temporal change is strongly unusual relative to the component's lot peers. Module B: All six parameters are predicted to stay within limits with margin.
C0237,L005,CMOS_A,PASS,PASS,0.1095601041503844,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0677,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,363.931,374.657,384.17228,,,700.0,UPPER,315.82772,0.9323,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0238,L005,CMOS_A,PASS,PASS,0.1718844178492402,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0073,B_OK,All six parameters are predicted to stay within limits with margin.,Input_Leakage_Current_uA,uA,0.08319,0.0849,0.08931,,,1.0,UPPER,0.91069,0.9927,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0239,L005,CMOS_A,PASS,PASS,0.1464221599524182,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0565,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.37915,8.49481,8.71938,,,22.0,UPPER,13.28062,0.9435,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0240,L005,CMOS_A,PASS,PASS,0.1862510216718487,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0343,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.11407,8.19055,8.40707,,,22.0,UPPER,13.59293,0.9657,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0241,L005,CMOS_A,PASS,PASS,0.2025546993324025,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.034,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,361.462,360.797,372.75365,,,700.0,UPPER,327.24635,0.966,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0242,L005,CMOS_A,MONITOR,PASS,0.1840185973177259,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0573,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.46269,8.50508,8.72992,,,22.0,UPPER,13.27008,0.9427,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0243,L005,CMOS_A,PASS,PASS,0.2730761890170031,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1642,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,399.98,404.437,416.87871,,,700.0,UPPER,283.12129,0.8358,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0244,L005,CMOS_A,PASS,PASS,0.2921314144662886,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1663,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,400.461,405.168,417.57426,,,700.0,UPPER,282.42574,0.8337,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0245,L005,CMOS_A,PASS,PASS,0.1511044232699193,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0,B_OK,All six parameters are predicted to stay within limits with margin.,IDDQ_uA,uA,2.01393,2.008,2.06699,,,40.0,UPPER,37.93301,1.0002,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0246,L005,CMOS_A,PASS,PASS,0.1866344588677979,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0668,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,375.058,370.463,383.87233,,,700.0,UPPER,316.12767,0.9332,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0247,L005,CMOS_A,PASS,PASS,0.1128359414829609,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1281,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,386.445,393.317,404.64674,,,700.0,UPPER,295.35326,0.8719,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0248,L005,CMOS_A,PASS,PASS,0.2677378403862908,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0,B_OK,All six parameters are predicted to stay within limits with margin.,Input_Leakage_Current_uA,uA,0.07571,0.07738,0.0814,,,1.0,UPPER,0.9186,1.0014,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0249,L005,CMOS_A,PASS,PASS,0.156641604010025,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0462,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.26707,8.35353,8.57436,,,22.0,UPPER,13.42564,0.9538,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0250,L005,CMOS_A,PASS,PASS,0.2116324068445215,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2321,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,419.4,427.382,439.85906,,,700.0,UPPER,260.14094,0.7679,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0251,L005,CMOS_A,PASS,PASS,0.2642208400777936,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0033,B_OK,All six parameters are predicted to stay within limits with margin.,IDDQ_uA,uA,2.06637,2.11825,2.20045,,,40.0,UPPER,37.79955,0.9967,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0252,L005,CMOS_A,MONITOR,PASS,0.2664987934109745,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.04,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.41499,8.26834,8.48692,,,22.0,UPPER,13.51308,0.96,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0253,L005,CMOS_A,PASS,PASS,0.2122777402245425,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0673,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,379.307,369.223,384.03782,,,700.0,UPPER,315.96218,0.9327,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0254,L005,CMOS_A,PASS,PASS,0.2828451625086082,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0518,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,8.27762,8.15849,8.41321,,,22.0,UPPER,13.58679,0.9482,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0255,L005,CMOS_A,PASS,PASS,0.2273190248467866,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1684,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,402.87,405.281,418.30161,,,700.0,UPPER,281.69839,0.8316,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0256,L005,CMOS_A,PASS,PASS,0.2394316215246443,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.1598,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,399.229,402.777,415.38983,,,700.0,UPPER,284.61017,0.8402,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0257,L005,CMOS_A,PASS,PASS,0.2878567145529879,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0321,B_OK,All six parameters are predicted to stay within limits with margin.,Propagation_Delay_ns,ns,9.58212,9.48766,9.71604,,,27.0,UPPER,17.28396,0.9679,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0258,L005,CMOS_A,MONITOR,PASS,0.1796035789398511,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0775,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.66657,8.78295,9.01513,,,22.0,UPPER,12.98487,0.9225,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0259,L005,CMOS_A,PASS,PASS,0.2054705477617337,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0082,B_OK,All six parameters are predicted to stay within limits with margin.,Input_Leakage_Current_uA,uA,0.08469,0.0857,0.09015,,,1.0,UPPER,0.90985,0.9918,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0260,L005,CMOS_A,REJECT,REJECT,1.0,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,MONITOR,0.9448,B_MARGIN_LOW,Predicted 168 h Supply_Current_ICC_uA leaves only 5.5% of the headroom between the lot baseline and the 700.0 uA limit.,Supply_Current_ICC_uA,uA,644.334,661.32,681.31496,,,700.0,UPPER,18.68504,0.0552,HIGH,LOW,True,Final decision is REJECT because at least one module identified a reject condition. Module A: Strong lot-relative evidence in both measurement level and temporal change. Module B: Predicted 168 h Supply_Current_ICC_uA leaves only 5.5% of the headroom between the lot baseline and the 700.0 uA limit.
C0261,L005,CMOS_A,PASS,PASS,0.2178604442146225,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0204,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Fall_Time_ns,ns,7.72075,7.7694,7.96285,,,22.0,UPPER,14.03715,0.9796,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0262,L005,CMOS_A,PASS,PASS,0.1928061021001973,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.065,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,367.334,372.306,383.25124,,,700.0,UPPER,316.74876,0.935,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0263,L005,CMOS_A,REJECT,REJECT,1.0,A_CROSS_TEMP_EXTREME,Strong lot-relative evidence in both measurement level and temporal change.,PASS,0.1209,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,381.058,392.006,402.19734,,,700.0,UPPER,297.80266,0.8791,HIGH,NOMINAL,False,Final decision is REJECT because at least one module identified a reject condition. Module A: Strong lot-relative evidence in both measurement level and temporal change. Module B: All six parameters are predicted to stay within limits with margin.
C0264,L005,CMOS_A,PASS,PASS,0.1366267593523726,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0091,B_OK,All six parameters are predicted to stay within limits with margin.,Input_Leakage_Current_uA,uA,0.08457,0.08649,0.09098,,,1.0,UPPER,0.90902,0.9909,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0265,L005,CMOS_A,REJECT,REJECT,0.408991211635215,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.1917,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,403.505,415.213,426.18562,,,700.0,UPPER,273.81438,0.8083,HIGH,NOMINAL,False,Final decision is REJECT because at least one module identified a reject condition. Module A: Measurement is strongly unusual relative to the component's lot peers. Module B: All six parameters are predicted to stay within limits with margin.
C0266,L005,CMOS_A,REJECT,REJECT,0.3619829738291065,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,MONITOR,0.0997,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.59583,8.36539,8.58654,,,22.0,UPPER,13.41346,0.9529,HIGH,LOW,True,"Final decision is REJECT because at least one module identified a reject condition. Module A: Measurement is strongly unusual relative to the component's lot peers. Module B: Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope."
C0267,L005,CMOS_A,REJECT,REJECT,0.4134878166983923,A_CROSS_SECTIONAL_EXTREME,Measurement is strongly unusual relative to the component's lot peers.,PASS,0.1196,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,385.923,389.783,401.76324,,,700.0,UPPER,298.23676,0.8804,HIGH,NOMINAL,False,Final decision is REJECT because at least one module identified a reject condition. Module A: Measurement is strongly unusual relative to the component's lot peers. Module B: All six parameters are predicted to stay within limits with margin.
C0268,L005,CMOS_A,PASS,PASS,0.2080550621981427,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0333,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,354.741,362.795,372.51822,,,700.0,UPPER,327.48178,0.9667,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0269,L005,CMOS_A,PASS,PASS,0.2240409335051177,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2551,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,423.652,435.973,447.66229,,,700.0,UPPER,252.33771,0.7449,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0270,L005,CMOS_A,PASS,PASS,0.2510839472969098,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.099,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,382.026,382.142,394.79353,,,700.0,UPPER,305.20647,0.901,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0271,L005,CMOS_A,PASS,PASS,0.1953371309857635,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0371,B_OK,All six parameters are predicted to stay within limits with margin.,Output_Rise_Time_ns,ns,8.2307,8.22935,8.4469,,,22.0,UPPER,13.5531,0.9629,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0272,L005,CMOS_A,MONITOR,MONITOR,0.3212344891475797,A_TEMPORAL_EXTREME,Temporal change is strongly unusual relative to the component's lot peers.,PASS,0.0726,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,377.163,372.259,385.82627,,,700.0,UPPER,314.17373,0.9274,MEDIUM,NOMINAL,False,Final decision is MONITOR because at least one module identified a condition requiring attention. Module A: Temporal change is strongly unusual relative to the component's lot peers. Module B: All six parameters are predicted to stay within limits with margin.
C0273,L005,CMOS_A,PASS,PASS,0.1633011305409283,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0956,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,374.579,383.18,393.62115,,,700.0,UPPER,306.37885,0.9044,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0274,L006,CMOS_A,MONITOR,PASS,0.2026066236116623,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1121,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.49859,8.49949,8.72418,,,22.0,UPPER,13.27582,0.9774,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0275,L006,CMOS_A,MONITOR,PASS,0.1724185253120907,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.158,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.58579,8.39042,8.61223,,,22.0,UPPER,13.38777,0.9857,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0276,L006,CMOS_A,MONITOR,PASS,0.2302862631816416,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.0589,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,9.06757,8.98054,9.21795,,,22.0,UPPER,12.78205,0.9411,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0277,L006,CMOS_A,PASS,PASS,0.2451722340348169,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.0335,B_OK,All six parameters are predicted to stay within limits with margin.,Propagation_Delay_ns,ns,9.19257,9.19255,9.34251,,,27.0,UPPER,17.65749,0.9665,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
C0278,L006,CMOS_A,MONITOR,PASS,0.277702372597231,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,MONITOR,0.1698,B_UNCERTAIN_EXTRAPOLATION,"Predicted 168 h Output_Rise_Time_ns is within limits, but the 0 h input lies outside the training envelope.",Output_Rise_Time_ns,ns,8.7148,8.73623,8.96718,,,22.0,UPPER,13.03282,0.9595,LOW,LOW,True,Final decision is MONITOR because the Module B prediction involves extrapolation or uncertainty. The prediction should therefore be reviewed rather than treated as a confident PASS.
C0279,L006,CMOS_A,PASS,PASS,0.2392636603719032,A_NO_STRONG_EVIDENCE,No strong lot-relative anomaly evidence detected.,PASS,0.2107,B_OK,All six parameters are predicted to stay within limits with margin.,Supply_Current_ICC_uA,uA,388.701,406.201,415.38957,,,700.0,UPPER,284.61043,0.7893,LOW,NOMINAL,False,Final decision is PASS because neither Module A nor Module B identified a reject or monitor condition.
