component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,IDDQ_96h,IDDQ_168h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Input_Leakage_Current_96h,Input_Leakage_Current_168h,Active_Supply_Current_0h,Active_Supply_Current_24h,Active_Supply_Current_96h,Active_Supply_Current_168h,Propagation_Delay_0h,Propagation_Delay_24h,Propagation_Delay_96h,Propagation_Delay_168h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Rise_Time_96h,Output_Rise_Time_168h,Output_Fall_Time_0h,Output_Fall_Time_24h,Output_Fall_Time_96h,Output_Fall_Time_168h,is_anomalous
C00685,A_L10,DIGITAL_CMOS,CMOS_A,1.29612,1.294548,1.296945,1.273345,0.025095,0.025418,0.025667,0.025864,98.377369,99.210965,99.304323,99.955127,8.812904,8.832874,9.01093,9.206936,7.674518,7.632733,7.824927,7.936646,7.450003,7.482511,7.763994,8.040966,0
C00686,A_L10,DIGITAL_CMOS,CMOS_A,1.513001,1.56446,1.666117,1.704307,0.015985,0.016755,0.017115,0.017277,80.102979,79.956631,81.602964,82.525494,9.223274,9.349362,9.31567,9.394588,8.128903,8.104068,8.139625,8.099535,7.134741,7.180653,7.214549,7.232439,0
C00687,A_L10,DIGITAL_CMOS,CMOS_A,1.845791,1.845986,1.860604,1.84548,0.028235,0.028191,0.028537,0.02877,83.575821,84.391756,84.868381,85.584857,9.306597,9.396967,9.431086,9.549434,8.681253,8.710617,8.882713,8.980636,7.53705,7.577486,7.7576,7.943881,0
C00688,A_L10,DIGITAL_CMOS,CMOS_A,1.119431,1.154111,1.195403,1.202435,0.020109,0.020454,0.02145,0.02198,85.960236,87.304159,89.282576,90.196396,8.962862,8.968018,9.032153,9.065924,8.891555,8.834409,8.92895,8.956752,7.973939,8.021498,8.078265,8.207248,0
C00689,A_L10,DIGITAL_CMOS,CMOS_A,1.762067,1.772038,1.77714,1.827381,0.024423,0.025004,0.025366,0.025795,85.831099,85.453038,86.560537,86.780061,8.720628,8.913068,8.930619,8.981962,7.791269,7.90454,8.022327,8.137128,7.821482,7.937963,8.135247,8.273657,0
C00690,A_L10,DIGITAL_CMOS,CMOS_A,1.481021,1.464257,1.493322,1.504888,0.027694,0.028243,0.028062,0.028509,88.10658,88.292175,88.806986,88.720483,9.273154,9.497116,10.272262,11.265235,8.585786,8.65697,9.191206,9.605597,7.586816,7.714984,7.905145,8.164826,1
C00691,A_L10,DIGITAL_CMOS,CMOS_A,1.77769,1.770294,1.753181,1.772097,0.024252,0.02455,0.024988,0.024836,91.978574,91.542354,92.970013,92.819142,8.90418,8.812742,8.838304,8.86123,7.972398,7.967664,7.962876,7.974248,7.344144,7.423528,7.39398,7.470361,0
C00692,A_L10,DIGITAL_CMOS,CMOS_A,1.703017,1.733274,1.739653,1.748638,0.0267,0.027277,0.027212,0.027514,91.236134,91.520238,91.995675,91.322055,8.777337,8.752575,8.775733,8.871447,8.01133,8.088012,8.133984,8.080805,7.612952,7.603975,7.689988,7.704647,0
C00693,A_L10,DIGITAL_CMOS,CMOS_A,1.566655,1.563633,1.583928,1.582348,0.019586,0.019864,0.020317,0.020614,84.517553,84.036529,85.101897,85.946157,8.792479,8.846435,8.93086,9.108927,8.089798,8.214451,8.293275,8.361035,7.639817,7.727932,7.873715,8.036886,0
C00694,A_L10,DIGITAL_CMOS,CMOS_A,1.859842,1.882246,1.943503,1.943719,0.018786,0.019167,0.019261,0.019595,90.28753,91.04847,91.187135,91.501351,9.003868,8.981364,9.054767,9.044966,8.040561,8.033648,8.034935,7.968173,7.468354,7.477391,7.45004,7.474425,0
C00695,A_L10,DIGITAL_CMOS,CMOS_A,1.50826,1.558191,1.552088,1.574925,0.018068,0.017944,0.018056,0.018221,84.782101,84.464844,85.034052,85.02506,9.099927,9.176094,9.36662,9.634796,8.000139,8.083292,8.291585,8.464301,7.695157,7.73905,8.047155,8.295496,0
C00696,A_L10,DIGITAL_CMOS,CMOS_A,1.740348,1.695379,1.767058,1.766705,0.021751,0.02144,0.021717,0.021952,90.71177,91.235729,92.043089,91.734377,9.262874,9.26129,9.353343,9.265123,8.551624,8.53193,8.643745,8.565153,7.979888,8.034158,8.057449,8.09795,0
C00697,A_L10,DIGITAL_CMOS,CMOS_A,1.856864,1.943094,2.027119,2.132869,0.019244,0.019461,0.020027,0.020482,92.188368,93.355427,93.808236,95.663189,8.481143,8.534366,8.601644,8.624468,8.291166,8.309179,8.331945,8.337351,7.496922,7.603125,7.566082,7.610257,0
C00698,A_L10,DIGITAL_CMOS,CMOS_A,1.864247,1.847992,1.922755,1.900751,0.022412,0.022497,0.022996,0.022659,86.34711,86.26544,86.538476,87.205062,8.951889,8.952282,9.172915,9.309314,8.228599,8.180121,8.375394,8.524557,7.407873,7.395108,7.690859,7.9038,0
C00699,A_L10,DIGITAL_CMOS,CMOS_A,1.262373,1.265822,1.298405,1.334326,0.023412,0.024234,0.024557,0.025687,89.552646,90.667085,92.778908,94.978369,9.000092,9.115718,9.278389,9.543885,8.488613,8.55753,8.619833,8.843419,7.764502,7.995282,8.361871,8.585259,0
C00700,A_L10,DIGITAL_CMOS,CMOS_A,2.022396,2.051479,2.052403,2.103448,0.026567,0.027301,0.026803,0.027211,84.384986,85.578679,85.159235,86.447351,8.613024,8.666643,8.766021,8.793032,7.835752,7.799977,7.977081,7.960975,7.499901,7.653372,7.913911,8.031927,0
C00701,A_L10,DIGITAL_CMOS,CMOS_A,1.621988,1.631291,1.7113,1.790179,0.014175,0.014443,0.014747,0.015117,87.035607,88.033645,89.089931,90.937907,9.310889,9.364076,9.503327,9.547215,8.435843,8.572725,8.612754,8.681928,7.729698,7.95232,8.186115,8.309225,0
C00702,A_L10,DIGITAL_CMOS,CMOS_A,1.705874,1.782023,1.913802,1.997111,0.031963,0.032174,0.033234,0.034249,87.947104,87.74895,89.900585,90.991834,8.611764,8.685587,8.630354,8.719069,8.122056,8.067366,8.103001,8.173893,7.536153,7.585944,7.63511,7.677351,0
C00703,A_L10,DIGITAL_CMOS,CMOS_A,1.760161,1.79186,1.82598,1.891982,0.018762,0.019601,0.019946,0.020135,90.089002,90.253565,91.70935,91.857504,9.6788,9.724448,9.816819,9.966017,8.525428,8.521904,8.798395,8.804896,7.609463,7.628885,7.934688,8.320481,0
C00704,A_L10,DIGITAL_CMOS,CMOS_A,1.508055,1.605501,1.669898,1.704832,0.015485,0.015936,0.016342,0.016782,85.008708,85.883454,88.258049,89.882725,9.020171,9.085514,9.294773,9.491091,8.325864,8.269499,8.464715,8.51518,8.012665,8.147686,8.454181,8.899513,0
C00705,A_L10,DIGITAL_CMOS,CMOS_A,1.533746,1.525792,1.553001,1.554922,0.022409,0.022178,0.022205,0.022296,86.278017,85.063144,85.858886,86.531162,8.930786,8.983112,9.113583,9.27485,8.081242,8.160121,8.290909,8.458847,7.235812,7.281187,7.595835,7.915348,0
C00706,A_L10,DIGITAL_CMOS,CMOS_A,1.44315,1.411157,1.444155,1.463352,0.015974,0.016053,0.016217,0.016333,93.187373,93.372579,93.50952,94.702037,8.69077,8.723505,8.717307,8.810054,7.922247,7.897512,7.965013,7.989699,7.400364,7.502813,7.571928,7.607594,0
C00707,A_L10,DIGITAL_CMOS,CMOS_A,1.616144,1.653972,1.662581,1.686082,0.038014,0.037997,0.038223,0.038752,89.327544,90.261987,90.307332,91.258697,8.37536,8.396725,8.590766,8.537996,7.831344,7.864731,8.003031,8.05291,7.364275,7.508778,7.752256,7.875336,0
C00708,A_L10,DIGITAL_CMOS,CMOS_A,1.84149,1.899499,1.899044,1.968735,0.030364,0.030508,0.030939,0.030698,89.9264,90.492921,89.7342,90.407226,9.447292,9.474534,9.634021,9.708805,7.989593,8.092387,8.240138,8.306872,7.905721,8.132221,8.306527,8.45097,0
C00709,A_L10,DIGITAL_CMOS,CMOS_A,1.365371,1.367199,1.436112,1.461327,0.028146,0.028133,0.028557,0.029234,91.923958,92.748763,93.919853,95.779445,8.816253,8.810392,8.838145,8.800886,7.679005,7.618914,7.725718,7.685109,7.844609,7.871484,7.967607,7.983022,0
C00710,A_L10,DIGITAL_CMOS,CMOS_A,1.317992,1.335785,1.394777,1.385663,0.022117,0.022881,0.023112,0.023993,82.635636,83.522784,85.914424,88.293379,8.772508,8.745475,8.937237,9.013901,8.129396,8.244986,8.381687,8.439194,7.698677,7.620353,7.915562,8.171074,0
C00711,A_L10,DIGITAL_CMOS,CMOS_A,1.422804,1.455448,1.480339,1.502217,0.03338,0.034171,0.034512,0.034365,87.835676,87.905426,88.044266,87.5332,9.360225,9.447564,9.564789,9.679301,8.260106,8.405097,8.408044,8.440145,7.826241,7.914061,8.128447,8.271536,0
C00712,A_L10,DIGITAL_CMOS,CMOS_A,1.949156,1.945797,2.098215,2.200638,0.029289,0.029691,0.03071,0.031816,94.520906,94.97367,96.96832,99.420507,9.009843,9.002721,9.061085,9.113352,8.015283,8.005233,8.077465,8.08328,7.061892,7.102328,7.0736,7.111705,0
C00713,A_L10,DIGITAL_CMOS,CMOS_A,1.489371,1.592483,1.628933,1.751056,0.017768,0.01835,0.018616,0.018753,91.356618,91.983575,94.096624,94.379825,8.800383,8.882379,8.981397,9.11361,8.366871,8.426562,8.556766,8.673994,6.865477,6.975952,7.134293,7.812782,1
C00714,A_L10,DIGITAL_CMOS,CMOS_A,1.290166,1.354391,1.406986,1.41159,0.019365,0.019827,0.020124,0.020425,84.506129,84.60752,87.049623,87.381662,8.991347,8.933091,8.929426,9.00743,8.149181,8.143621,8.139997,8.114584,7.984043,8.000597,8.012438,8.073816,0
C00715,A_L10,DIGITAL_CMOS,CMOS_A,1.88667,1.90365,1.967616,1.984587,0.022399,0.022928,0.023376,0.023785,90.47029,91.830283,92.862894,94.602252,9.388811,9.416969,9.409017,9.467641,8.555887,8.660522,8.588683,8.610548,7.175528,7.221212,7.289264,7.363852,0
C00716,A_L10,DIGITAL_CMOS,CMOS_A,1.165138,1.163251,1.202607,1.210929,0.019822,0.020097,0.020282,0.02043,89.77935,89.821824,90.932413,91.183826,8.803602,8.836558,8.863509,8.864188,8.339076,8.323649,8.38896,8.458585,7.611489,7.665636,7.790668,7.733865,0
C00717,A_L10,DIGITAL_CMOS,CMOS_A,1.419554,1.400824,1.400517,1.405448,0.028638,0.028867,0.029207,0.029228,91.291528,89.753954,90.891056,90.714777,8.339132,8.439573,8.33914,8.407077,7.254474,7.28989,7.197968,7.277761,6.882632,6.91616,7.056798,7.078522,0
C00718,A_L10,DIGITAL_CMOS,CMOS_A,1.603863,1.605637,1.65257,1.729866,0.021347,0.021776,0.02182,0.02202,89.977684,91.235145,91.846626,93.033906,8.749899,8.781437,8.808926,8.870017,8.350055,8.414408,8.513523,8.56627,7.83469,7.769465,7.798305,7.815108,0
C00719,A_L10,DIGITAL_CMOS,CMOS_A,2.234926,2.283347,2.282958,2.345312,0.02827,0.028722,0.029959,0.030237,92.049548,92.680111,94.403657,95.544141,9.324027,9.310269,9.354489,9.457781,7.967126,7.999773,8.012145,8.032589,7.375751,7.40432,7.441695,7.523035,0
C00720,A_L10,DIGITAL_CMOS,CMOS_A,1.288074,1.287294,1.318797,1.345962,0.018611,0.018598,0.018758,0.018575,89.933427,89.655989,90.227354,90.059016,8.868929,8.907962,8.982673,9.152637,7.360395,7.458299,7.645075,7.714796,7.86553,7.937719,8.257651,8.446699,0
C00721,A_L10,DIGITAL_CMOS,CMOS_A,1.707097,1.733285,1.767657,1.758841,0.025963,0.026041,0.02665,0.026634,91.908941,92.688485,93.825811,93.983277,8.649796,8.659213,8.835289,9.084805,8.070521,8.167864,8.303728,8.458726,7.526536,7.713356,7.892503,8.193904,0
C00722,A_L10,DIGITAL_CMOS,CMOS_A,1.177955,1.164952,1.152377,1.168757,0.019318,0.019229,0.019442,0.019668,89.786861,91.24274,91.132275,91.574777,8.885004,8.938825,8.994372,9.285042,8.508753,8.482133,8.752738,9.157509,7.669362,7.656669,7.730479,7.925866,1
C00723,A_L10,DIGITAL_CMOS,CMOS_A,1.252319,1.303368,1.357175,1.364118,0.016631,0.016923,0.01735,0.017374,90.003881,92.086106,93.033575,94.160658,9.039591,9.056251,9.136142,9.123352,8.196384,8.20496,8.378983,8.394012,7.486594,7.559126,7.631537,7.762168,0
C00724,A_L10,DIGITAL_CMOS,CMOS_A,1.586823,1.583921,1.570588,1.63744,0.018144,0.01819,0.018253,0.0182,87.551125,87.454476,88.51127,88.663909,9.457021,9.636072,9.73323,9.797278,8.917942,9.013182,9.055363,9.199661,8.04534,8.263198,8.498853,8.622258,0
C00725,A_L10,DIGITAL_CMOS,CMOS_A,1.220185,1.219622,1.256308,1.270248,0.021833,0.022144,0.022534,0.022375,89.088946,88.393047,88.972425,88.366891,8.802375,8.826059,8.890341,8.908532,8.518495,8.503098,8.490079,8.506356,7.756848,7.744421,7.818013,7.865043,0
C00726,A_L10,DIGITAL_CMOS,CMOS_A,2.136565,2.225287,2.389077,2.566363,0.030044,0.030759,0.032388,0.035593,93.23865,95.308214,99.117081,102.065656,9.01156,9.033673,9.178303,9.513689,8.20262,8.319469,8.415654,8.5109,7.543077,7.651282,8.034045,8.356175,1
C00727,A_L10,DIGITAL_CMOS,CMOS_A,1.614326,1.611844,1.718344,1.746293,0.01531,0.016163,0.016731,0.017294,89.809251,90.148903,92.291993,92.83261,9.08112,9.015102,9.130743,9.150975,8.336212,8.369541,8.404344,8.431441,7.874597,7.890487,7.964521,8.086688,0
C00728,A_L10,DIGITAL_CMOS,CMOS_A,1.580088,1.678719,1.713064,1.748912,0.020626,0.021165,0.02195,0.021648,90.434063,91.862446,92.983422,93.351766,9.063377,9.124396,9.0964,9.183873,8.045595,8.026696,8.164597,8.085567,7.434092,7.404467,7.475904,7.432676,0
C00729,A_L10,DIGITAL_CMOS,CMOS_A,1.417325,1.404433,1.423598,1.451075,0.021071,0.021038,0.020908,0.02067,84.232974,84.413281,84.541057,84.567678,8.830688,8.867823,8.952249,8.90809,8.4461,8.385783,8.424048,8.490829,8.12928,8.179634,8.147355,8.191431,0
C00730,A_L10,DIGITAL_CMOS,CMOS_A,1.548392,1.574392,1.596265,1.61333,0.025817,0.026026,0.026372,0.026262,91.056212,90.789072,91.70197,92.525589,9.305592,9.368017,9.374251,9.422897,8.419438,8.405432,8.402959,8.429547,7.959843,7.951956,8.038736,8.057628,0
C00731,A_L10,DIGITAL_CMOS,CMOS_A,1.647767,1.672418,1.708912,1.728292,0.025623,0.026154,0.030003,0.0396,84.749226,86.618735,86.741523,86.796181,9.291607,9.360291,9.489411,9.507058,8.007025,8.059563,8.188675,8.244158,7.293877,7.46927,7.611524,7.74511,1
C00732,A_L10,DIGITAL_CMOS,CMOS_A,1.677498,1.683492,1.702718,1.707084,0.024486,0.02482,0.024976,0.025331,86.833843,85.753479,86.541399,87.299074,8.657211,8.663098,8.670866,8.723202,8.028948,8.059993,7.995106,8.084162,7.80053,7.892169,7.852066,7.926924,0
C00733,A_L10,DIGITAL_CMOS,CMOS_A,1.804207,1.872945,1.978754,2.129043,0.021324,0.021586,0.021929,0.022041,93.526255,94.508521,96.779767,98.665937,8.884772,8.985567,9.167861,9.238848,8.368404,8.413647,8.502111,8.509368,7.862042,8.110599,8.376081,8.648163,0
C00734,A_L10,DIGITAL_CMOS,CMOS_A,1.105712,1.118801,1.127138,1.141268,0.013628,0.013798,0.013859,0.013632,85.617568,86.08686,86.164402,87.135817,9.015278,8.986971,9.079307,9.127609,8.01986,8.008816,8.143934,8.057657,7.933801,8.034957,7.961763,8.089012,0
C00735,A_L10,DIGITAL_CMOS,CMOS_A,1.355152,1.392686,1.457937,1.53738,0.015451,0.015553,0.015958,0.016323,80.230263,79.933568,82.153489,83.430187,9.747083,9.817702,9.803913,9.890041,8.715294,8.6931,8.688448,8.731919,8.165448,8.169819,8.258631,8.353626,0
C00736,A_L10,DIGITAL_CMOS,CMOS_A,1.491471,1.563181,1.58222,1.597242,0.020576,0.020924,0.021425,0.021955,88.791949,89.216813,90.743351,93.640646,8.589343,8.673342,8.794491,8.851302,7.580947,7.615865,7.705702,7.704863,6.9589,7.113125,7.340249,7.442574,0
C00737,A_L10,DIGITAL_CMOS,CMOS_A,1.706442,1.733028,1.713247,1.724883,0.021803,0.022439,0.022574,0.022886,84.738977,85.468483,85.391232,85.22417,8.684223,8.77048,8.941703,9.141443,7.727496,7.745285,7.910983,8.075897,6.823863,6.879539,7.165095,7.482714,0
C00738,A_L10,DIGITAL_CMOS,CMOS_A,1.26048,1.292632,1.32659,1.370376,0.020004,0.02016,0.020738,0.020574,94.468217,95.165472,95.931231,96.837079,8.949717,9.076554,9.217933,9.332902,8.572648,8.729394,8.777644,8.836518,7.479343,7.575799,7.859113,8.068762,0
C00739,A_L10,DIGITAL_CMOS,CMOS_A,1.642227,1.648593,1.661148,1.685849,0.023589,0.02374,0.023755,0.023991,85.120104,85.135541,86.229746,86.865206,8.77528,8.791443,8.734938,8.773425,8.047251,8.090825,8.106053,8.059567,7.372927,7.341794,7.411022,7.524392,0
C00740,A_L10,DIGITAL_CMOS,CMOS_A,1.387634,1.388807,1.37753,1.420411,0.024388,0.025203,0.024839,0.024901,94.355805,96.132944,95.879408,96.528101,8.609039,8.608371,8.632389,8.670499,8.11799,8.087427,8.125647,8.137882,7.104544,7.026463,7.20316,7.220597,0
C00741,A_L10,DIGITAL_CMOS,CMOS_A,1.576387,1.563108,1.588681,1.580126,0.017105,0.017233,0.017312,0.017653,88.25134,88.951733,88.617579,89.342439,8.918878,8.991303,9.15609,10.316113,8.023627,8.093283,8.2522,8.85692,7.063912,7.147795,7.383006,7.620955,1
C00742,A_L10,DIGITAL_CMOS,CMOS_A,1.673879,1.690103,1.725667,1.753359,0.016894,0.018797,0.021991,0.02549,92.310097,97.334136,106.609027,114.532286,9.276196,9.320686,9.541971,9.594635,8.362618,8.540843,8.789806,9.00104,8.049234,8.142636,8.331463,8.391769,1
C00743,A_L10,DIGITAL_CMOS,CMOS_A,1.565495,1.621492,1.695016,1.766267,0.019851,0.020593,0.020949,0.020938,90.377729,90.783956,92.31205,93.272249,9.323306,9.367318,9.544453,9.548716,9.038431,9.093524,9.269898,9.375731,7.968578,8.246854,8.393128,8.643879,0
C00744,A_L10,DIGITAL_CMOS,CMOS_A,1.644971,1.665378,1.727454,1.809322,0.026625,0.02749,0.028639,0.028385,92.277756,92.902667,94.267139,96.159922,8.353515,8.387928,8.370203,8.403017,7.762461,7.769525,7.788605,7.77265,7.086105,7.103378,7.186227,7.273765,0
C00745,A_L10,DIGITAL_CMOS,CMOS_A,1.123222,1.121473,1.158724,1.149613,0.020477,0.020497,0.020555,0.021121,93.532104,94.191638,94.446707,94.047455,9.310764,9.335047,9.442739,9.579928,8.380574,8.434174,8.542588,8.759582,7.443596,7.461728,7.684149,7.978623,0
C00746,A_L10,DIGITAL_CMOS,CMOS_A,1.34576,1.317784,1.392301,1.423941,0.03087,0.031005,0.031126,0.031682,84.483919,85.730416,85.837045,86.961053,8.659631,8.742776,8.981032,9.225778,8.196975,8.312523,8.466003,8.762302,7.826939,7.913815,8.179216,8.504525,0
C00747,A_L10,DIGITAL_CMOS,CMOS_A,1.656094,1.719106,1.760561,1.802804,0.014917,0.015072,0.015733,0.015702,88.731683,88.775963,89.376543,90.18053,8.99155,9.073022,9.187641,9.320667,8.431846,8.486588,8.519098,8.589368,7.835002,8.063255,8.233169,8.48074,0
C00748,A_L10,DIGITAL_CMOS,CMOS_A,1.72477,1.734546,1.847065,1.957303,0.019499,0.019646,0.020665,0.021242,91.473082,92.740557,93.709799,97.13319,9.136964,9.223389,9.225456,9.240946,8.198058,8.210424,8.232388,8.265238,7.597546,7.616991,7.675781,7.629043,0
C00749,A_L10,DIGITAL_CMOS,CMOS_A,1.652314,1.719687,1.790697,1.830298,0.023094,0.024464,0.024675,0.025005,96.25987,97.190509,98.480637,101.044843,9.279231,9.253257,9.331973,9.342241,8.025713,7.964754,7.919467,7.964804,7.417676,7.367669,7.431243,7.466616,0
C00750,A_L10,DIGITAL_CMOS,CMOS_A,1.435487,1.407479,1.42324,1.409492,0.029598,0.02974,0.029292,0.029185,91.189168,91.58288,91.586889,92.000367,8.665419,8.743201,8.936841,9.005077,7.644941,7.675948,7.853099,7.911068,7.256056,7.369436,7.546391,7.646518,0
C00827,A_L12,DIGITAL_CMOS,CMOS_A,1.359362,1.355859,1.418432,1.405815,0.015038,0.015152,0.015832,0.016254,89.842018,91.098395,91.966028,92.698511,8.745792,8.751668,8.740267,8.746268,8.198816,8.218699,8.247624,8.300898,6.971685,7.006772,7.065881,7.079766,0
C00828,A_L12,DIGITAL_CMOS,CMOS_A,2.049365,2.047946,2.094765,2.12043,0.023351,0.024355,0.025536,0.026057,88.126118,87.989268,89.603725,90.870444,9.047823,8.9851,8.992547,9.095335,7.848575,7.977361,8.006254,7.943302,6.89414,6.97997,7.014221,7.028522,0
C00829,A_L12,DIGITAL_CMOS,CMOS_A,1.632122,1.641916,1.639771,1.638096,0.02692,0.027007,0.027605,0.027979,84.963481,85.450051,86.067529,85.455708,9.120404,9.217387,9.252593,9.41644,8.372993,8.451423,8.697922,8.997635,7.621496,7.811022,8.035063,8.32192,0
C00830,A_L12,DIGITAL_CMOS,CMOS_A,1.506823,1.523714,1.562345,1.587404,0.014106,0.014269,0.014467,0.014458,95.001074,96.738162,96.755621,97.92783,9.45432,9.474109,9.551979,9.622704,8.214123,8.355964,8.402292,8.57618,7.356363,7.516243,7.671651,7.83575,0
C00831,A_L12,DIGITAL_CMOS,CMOS_A,1.311634,1.318505,1.34822,1.363668,0.018276,0.018626,0.018537,0.018791,87.998475,89.263277,90.981151,90.813403,8.463973,8.468841,8.498221,8.496594,8.264218,8.252361,8.281055,8.289396,7.239305,7.241897,7.203231,7.258938,0
C00832,A_L12,DIGITAL_CMOS,CMOS_A,1.739292,1.735749,1.737324,1.77003,0.016511,0.016874,0.017081,0.017205,91.923821,92.326217,92.57426,93.096884,9.032707,9.044503,9.067992,9.141173,8.19599,8.209115,8.216507,8.331083,7.304177,7.27829,7.250279,7.349912,0
C00833,A_L12,DIGITAL_CMOS,CMOS_A,1.324323,1.351926,1.334686,1.329096,0.01981,0.01989,0.019967,0.020078,78.36615,78.397485,78.80677,78.587106,9.006729,9.053239,9.116762,9.098017,8.579087,8.611756,8.707485,8.674448,7.555488,7.612441,7.688147,7.652371,0
