component_id,lot_id,device_family,device_variant,IDDQ_0h,IDDQ_24h,Input_Leakage_Current_0h,Input_Leakage_Current_24h,Active_Supply_Current_0h,Active_Supply_Current_24h,Propagation_Delay_0h,Propagation_Delay_24h,Output_Rise_Time_0h,Output_Rise_Time_24h,Output_Fall_Time_0h,Output_Fall_Time_24h
DEMO_C00012,DEMO_A,DIGITAL_CMOS,CMOS_A,1.493656,1.484359,0.025241,0.025787,83.650403,83.942109,9.229061,9.257758,7.906243,7.899493,7.733796,7.79514
DEMO_C00013,DEMO_A,DIGITAL_CMOS,CMOS_A,1.337681,1.333689,0.024405,0.02624,90.366621,91.421108,9.706072,9.780277,7.908597,7.970355,7.405253,7.498868
DEMO_C00014,DEMO_A,DIGITAL_CMOS,CMOS_A,1.865717,1.86813,0.019764,0.020518,82.560832,83.612485,8.727541,8.863836,7.509916,7.527599,7.399983,7.548146
DEMO_C00015,DEMO_A,DIGITAL_CMOS,CMOS_A,1.233709,1.256027,0.018301,0.018742,86.582849,86.70703,9.09977,9.071843,7.728054,7.708932,7.410344,7.447115
DEMO_C00016,DEMO_A,DIGITAL_CMOS,CMOS_A,1.441426,1.47096,0.013743,0.015242,88.563185,89.20368,9.23252,9.306601,8.247974,8.223369,8.076084,8.160228
DEMO_C00017,DEMO_A,DIGITAL_CMOS,CMOS_A,1.536566,1.534851,0.020588,0.020976,87.96276,88.198937,8.458308,8.532085,7.216836,7.240348,7.130255,7.167733
DEMO_C00018,DEMO_A,DIGITAL_CMOS,CMOS_A,1.875524,1.907134,0.017656,0.018931,87.962925,88.201374,9.104177,9.19535,7.623156,7.683839,7.206741,7.383562
DEMO_C00019,DEMO_A,DIGITAL_CMOS,CMOS_A,1.564614,1.589847,0.020199,0.020697,81.109468,81.246219,9.516519,9.490445,8.30819,8.315742,8.336256,8.370758
DEMO_C00020,DEMO_A,DIGITAL_CMOS,CMOS_A,1.316957,1.294449,0.013773,0.014153,87.568936,88.704121,9.465907,9.492181,8.345373,8.364425,7.878065,7.885528
DEMO_C00021,DEMO_A,DIGITAL_CMOS,CMOS_A,1.558732,1.537521,0.019502,0.020184,90.008069,90.055655,8.538054,8.560819,6.876744,6.881921,7.43434,7.391225
DEMO_C00022,DEMO_A,DIGITAL_CMOS,CMOS_A,1.24679,1.25452,0.032182,0.034165,84.011341,84.17311,9.237689,9.30857,7.623904,7.794074,7.447559,7.629386
DEMO_C00023,DEMO_A,DIGITAL_CMOS,CMOS_A,1.289514,1.320113,0.02558,0.026531,86.752053,86.290063,9.155239,9.280702,8.216399,8.093575,7.449176,7.428506
DEMO_C00024,DEMO_A,DIGITAL_CMOS,CMOS_A,1.387893,1.399172,0.015411,0.01608,80.070105,79.511761,9.129418,9.252556,8.40687,8.482276,7.874307,7.91967
DEMO_C00025,DEMO_A,DIGITAL_CMOS,CMOS_A,1.510786,1.535088,0.019781,0.020146,82.367963,82.21496,8.417636,8.522967,7.319797,7.347522,7.361353,7.391339
DEMO_C00026,DEMO_A,DIGITAL_CMOS,CMOS_A,1.818559,1.850666,0.028768,0.030861,99.780559,100.654328,8.749118,8.789546,7.466138,7.411085,7.792516,7.876356
DEMO_C00027,DEMO_A,DIGITAL_CMOS,CMOS_A,1.071294,1.075512,0.011163,0.011819,78.705662,79.113082,9.483216,9.515282,8.582874,8.600561,8.496715,8.442841
DEMO_C00028,DEMO_A,DIGITAL_CMOS,CMOS_A,1.436594,1.418956,0.010359,0.010445,89.626835,89.724651,8.895043,8.909745,7.633569,7.661194,7.912337,8.052783
DEMO_C00029,DEMO_A,DIGITAL_CMOS,CMOS_A,1.664833,1.678051,0.016332,0.016613,91.977791,92.708152,9.152429,9.189686,8.214698,8.192291,8.003746,7.99182
DEMO_C00030,DEMO_A,DIGITAL_CMOS,CMOS_A,1.522104,1.49998,0.014955,0.015176,81.772093,82.049523,8.769459,8.782885,7.271388,7.331879,7.093888,7.1416
DEMO_C00031,DEMO_A,DIGITAL_CMOS,CMOS_A,1.664441,1.646111,0.019652,0.019878,86.748809,86.656594,9.146852,9.177664,7.817614,7.841165,7.609481,7.609658
DEMO_C00032,DEMO_A,DIGITAL_CMOS,CMOS_A,1.662791,1.64806,0.017539,0.018042,85.636734,84.596278,9.415128,9.509495,8.139712,8.194605,7.188487,7.255478
DEMO_C00033,DEMO_A,DIGITAL_CMOS,CMOS_A,1.129948,1.138121,0.0153,0.015394,83.683119,84.459773,8.86115,8.923666,8.285077,8.25259,7.551159,7.641068
DEMO_C00034,DEMO_A,DIGITAL_CMOS,CMOS_A,1.42926,1.452525,0.019653,0.020709,84.884488,85.469769,8.545428,8.613069,7.630828,7.670294,7.49068,7.557892
DEMO_C00035,DEMO_A,DIGITAL_CMOS,CMOS_A,1.15605,1.175256,0.019987,0.021096,87.967643,88.7788,8.964136,9.018378,8.030955,8.089516,7.671015,7.762377
DEMO_C00036,DEMO_A,DIGITAL_CMOS,CMOS_A,1.732443,1.752186,0.019985,0.020494,89.947375,90.417049,9.398921,9.413262,7.929466,7.951265,8.107814,7.97046
DEMO_C00037,DEMO_A,DIGITAL_CMOS,CMOS_A,1.430142,1.480447,0.023734,0.024414,88.6644,88.451919,9.382581,9.550893,8.383826,8.4543,8.024393,8.141898
DEMO_C00038,DEMO_A,DIGITAL_CMOS,CMOS_A,1.854878,1.888628,0.019198,0.020137,85.612983,86.538615,9.213642,9.231909,7.407746,7.474109,7.829576,7.872795
DEMO_C00039,DEMO_A,DIGITAL_CMOS,CMOS_A,1.83254,1.788286,0.027036,0.02814,79.311134,80.13054,9.056998,9.242806,8.103572,8.185981,7.968631,8.064287
DEMO_C00040,DEMO_A,DIGITAL_CMOS,CMOS_A,1.403877,1.397501,0.011709,0.012257,83.688214,82.841345,8.681765,8.732799,7.732105,7.757777,7.412192,7.458091
DEMO_C00041,DEMO_A,DIGITAL_CMOS,CMOS_A,1.626189,1.637245,0.021593,0.021938,83.48968,83.457923,9.204275,9.370591,7.88806,7.970205,8.139329,8.232104
DEMO_C00042,DEMO_A,DIGITAL_CMOS,CMOS_A,1.280009,1.272759,0.021038,0.02153,79.109873,80.309852,8.451887,8.516236,7.43125,7.36112,7.199299,7.1498
DEMO_C00043,DEMO_A,DIGITAL_CMOS,CMOS_A,1.933074,1.943762,0.022742,0.022848,94.104516,94.455614,8.632308,8.718484,7.357608,7.460345,6.909613,6.969892
DEMO_C00044,DEMO_A,DIGITAL_CMOS,CMOS_A,1.517103,1.530718,0.016735,0.017644,80.17779,80.073875,9.49722,9.509368,8.621107,8.704729,7.854695,7.923596
DEMO_C00045,DEMO_A,DIGITAL_CMOS,CMOS_A,1.350145,1.391087,0.016063,0.016815,91.130097,91.009724,8.849467,8.876632,7.768806,7.797887,6.89844,6.962781
DEMO_C00046,DEMO_A,DIGITAL_CMOS,CMOS_A,1.560808,1.608229,0.018522,0.020266,84.838317,86.919981,9.333523,9.4554,7.867817,7.90039,8.043583,8.274591
DEMO_C00047,DEMO_A,DIGITAL_CMOS,CMOS_A,1.24918,1.240624,0.013688,0.013713,87.808819,87.445336,8.792877,8.841464,7.495445,7.560741,6.866343,7.050672
DEMO_C00048,DEMO_A,DIGITAL_CMOS,CMOS_A,1.555477,1.582662,0.017531,0.018828,94.396251,94.302134,9.816746,9.769261,8.271401,8.348149,7.599695,7.679551
DEMO_C00049,DEMO_A,DIGITAL_CMOS,CMOS_A,1.724828,1.729424,0.032331,0.033016,81.921123,81.723307,9.066659,9.140439,8.337827,8.335605,7.853539,7.816539
DEMO_C00050,DEMO_A,DIGITAL_CMOS,CMOS_A,1.324901,1.350952,0.018861,0.020712,74.068447,74.307013,9.381205,9.502901,7.509339,7.54099,7.339289,7.463694
DEMO_C00051,DEMO_A,DIGITAL_CMOS,CMOS_A,1.365786,1.375799,0.023669,0.024316,88.304422,88.976438,8.747538,8.830913,8.162462,8.302411,7.63349,7.670148
DEMO_C00052,DEMO_A,DIGITAL_CMOS,CMOS_A,1.462099,1.474815,0.019921,0.020009,88.988434,88.905355,9.339483,9.428718,7.27356,7.383205,7.542677,7.709831
DEMO_C00053,DEMO_A,DIGITAL_CMOS,CMOS_A,1.658986,1.674857,0.013038,0.013319,91.651154,92.020272,9.626245,9.798971,8.809414,8.837691,8.32956,8.475333
DEMO_C00054,DEMO_A,DIGITAL_CMOS,CMOS_A,1.627883,1.634212,0.022678,0.022735,88.439439,88.362266,9.431654,9.432259,8.098281,8.132455,7.5549,7.506724
DEMO_C00055,DEMO_A,DIGITAL_CMOS,CMOS_A,1.396922,1.387448,0.017397,0.01815,90.141468,89.86809,9.251535,9.326699,7.649871,7.693588,7.740324,7.839322
DEMO_C00056,DEMO_A,DIGITAL_CMOS,CMOS_A,1.392829,1.374742,0.016538,0.01718,82.33251,82.213557,9.085354,9.15516,7.787303,7.764571,7.535603,7.602174
DEMO_C00057,DEMO_A,DIGITAL_CMOS,CMOS_A,1.587858,1.601984,0.019891,0.01998,93.61389,94.25385,8.943497,8.971411,8.205071,8.236579,7.669893,7.659757
DEMO_C00058,DEMO_A,DIGITAL_CMOS,CMOS_A,1.522472,1.565721,0.017614,0.017659,87.148726,87.222025,9.213175,9.236821,7.941032,7.906961,8.04638,8.158694
DEMO_C00059,DEMO_A,DIGITAL_CMOS,CMOS_A,1.587871,1.578761,0.021105,0.021599,88.601858,89.010838,9.776372,9.855645,7.945635,8.003382,8.223428,8.265792
DEMO_C00060,DEMO_A,DIGITAL_CMOS,CMOS_A,1.486206,1.465917,0.019415,0.020147,86.623258,86.721169,8.539093,8.691971,7.473332,7.632053,7.289641,7.398698
DEMO_C00061,DEMO_A,DIGITAL_CMOS,CMOS_A,1.701385,1.722746,0.017203,0.017931,86.525408,87.018219,9.204769,9.255417,7.379991,7.469867,7.370569,7.410492
DEMO_C00062,DEMO_A,DIGITAL_CMOS,CMOS_A,1.373111,1.383893,0.019086,0.02002,89.032464,90.201187,9.634169,9.641604,8.398664,8.368345,8.479957,8.47654
DEMO_C00063,DEMO_A,DIGITAL_CMOS,CMOS_A,1.62178,1.59747,0.02654,0.026916,85.719198,85.313578,9.270561,9.334716,8.116435,8.209842,7.549555,7.624619
DEMO_C00064,DEMO_A,DIGITAL_CMOS,CMOS_A,1.903818,1.928759,0.028767,0.030209,86.572775,87.038174,8.783744,8.915985,7.328005,7.403229,7.306666,7.374136
DEMO_C00065,DEMO_A,DIGITAL_CMOS,CMOS_A,1.477572,1.508861,0.017002,0.017979,91.067465,92.190833,9.42673,9.441381,8.381605,8.550846,7.776798,7.926965
DEMO_C00066,DEMO_A,DIGITAL_CMOS,CMOS_A,1.658678,1.645331,0.011129,0.011207,86.918602,86.880524,8.815094,8.816093,7.058652,6.973664,8.071072,8.162229
DEMO_C00067,DEMO_A,DIGITAL_CMOS,CMOS_A,2.161101,2.101985,0.019183,0.020064,83.970876,84.262121,9.137673,9.23411,7.31014,7.412892,7.334464,7.514807
DEMO_C00068,DEMO_A,DIGITAL_CMOS,CMOS_A,1.418384,1.406345,0.01817,0.018997,86.996927,87.635249,8.700166,8.786876,8.072709,8.012171,7.828061,8.152429
DEMO_C00069,DEMO_A,DIGITAL_CMOS,CMOS_A,1.498722,1.514798,0.02131,0.021833,89.693139,90.115973,9.030157,9.130288,7.492512,7.491166,7.514402,7.454414
DEMO_C00070,DEMO_A,DIGITAL_CMOS,CMOS_A,1.053924,1.0502,0.019451,0.020351,88.576645,89.923666,9.209501,9.307035,8.127475,8.19267,7.889139,7.934418
DEMO_C00071,DEMO_A,DIGITAL_CMOS,CMOS_A,1.315257,1.318211,0.032109,0.032875,81.881175,82.792719,8.798065,8.882476,7.373704,7.390199,7.248951,7.26029
DEMO_C00072,DEMO_A,DIGITAL_CMOS,CMOS_A,1.861943,1.894534,0.024871,0.026837,82.905759,82.754052,8.841558,8.901276,8.00876,7.941293,7.76882,7.814864
DEMO_C00073,DEMO_A,DIGITAL_CMOS,CMOS_A,1.885671,1.947523,0.02743,0.027428,89.31096,89.651802,9.998169,10.072598,8.16522,8.250153,8.288175,8.276286
DEMO_C00074,DEMO_A,DIGITAL_CMOS,CMOS_A,1.261513,1.283856,0.023871,0.024407,86.713157,86.41745,9.523782,9.561486,8.353875,8.386572,7.89484,7.808613
DEMO_C00075,DEMO_A,DIGITAL_CMOS,CMOS_A,1.398972,1.374756,0.012896,0.012923,84.26721,83.631672,8.890007,9.030472,7.630595,7.68972,7.085218,7.175803
DEMO_C00076,DEMO_A,DIGITAL_CMOS,CMOS_A,1.680142,1.68942,0.021846,0.023076,84.34467,85.167373,8.996116,9.068222,7.840084,7.869211,7.467531,7.406647
DEMO_C00077,DEMO_A,DIGITAL_CMOS,CMOS_A,1.359869,1.328988,0.0175,0.017422,82.861258,82.847793,9.694771,9.698391,8.173339,8.22765,7.975215,8.056778
DEMO_C00078,DEMO_A,DIGITAL_CMOS,CMOS_A,1.961692,1.988006,0.026402,0.02707,89.968189,90.427546,9.618101,9.645054,8.429363,8.437538,8.361022,8.514046
