component_id,module_a_score,module_a_disposition,module_a_primary_parameter,module_a_reason_codes,module_a_evidence_tier,module_a_attribution_margin,statistical_score,spec_exceedance_ratio,scored_epoch_h,analysis_status,model_version,dataset_id
C00197,0.21059602649006623,PASS,,A_OK,PASS,,0.23399558498896247,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00198,0.9188122888888889,MONITOR,Propagation_Delay,A_STATIC_LIMIT_EXCEEDED:Propagation_Delay|A_LOT_RELATIVE_DEVIATION,CONFIRMED,21.928388424839014,0.9977924944812362,1.0940614444444445,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00199,0.6208609271523179,PASS,,A_OK,PASS,,0.6898454746136865,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00200,0.685430463576159,PASS,,A_OK,PASS,,0.7615894039735099,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00201,0.39834437086092717,PASS,,A_OK,PASS,,0.44260485651214126,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00202,0.4480132450331126,PASS,,A_OK,PASS,,0.4977924944812362,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00203,0.678476821192053,PASS,,A_OK,PASS,,0.7538631346578366,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00204,0.3605960264900662,PASS,,A_OK,PASS,,0.40066225165562913,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00205,0.3079470198675497,PASS,,A_OK,PASS,,0.34216335540838855,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00206,0.16986754966887416,PASS,,A_OK,PASS,,0.18874172185430463,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00207,0.3615894039735099,PASS,,A_OK,PASS,,0.40176600441501104,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00208,0.5096026490066226,PASS,,A_OK,PASS,,0.5662251655629139,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00209,0.6347682119205299,PASS,,A_OK,PASS,,0.7052980132450332,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00210,0.6973509933774834,PASS,,A_OK,PASS,,0.7748344370860927,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00211,0.433112582781457,PASS,,A_OK,PASS,,0.48123620309050774,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00212,0.4062913907284768,PASS,,A_OK,PASS,,0.45143487858719644,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00213,0.45894039735099346,PASS,,A_OK,PASS,,0.5099337748344371,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00214,0.916456,MONITOR,Input_Leakage_Current,A_STATIC_LIMIT_EXCEEDED:Input_Leakage_Current|A_LOT_RELATIVE_DEVIATION,CONFIRMED,21.43961360728236,1.0,1.08228,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00215,0.8652317880794702,MONITOR,Output_Fall_Time,A_LOT_RELATIVE_DEVIATION,MONITOR,1.2409562190495955,0.9613686534216336,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00216,0.2940397350993378,PASS,,A_OK,PASS,,0.32671081677704195,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00217,0.04470198675496689,PASS,,A_OK,PASS,,0.04966887417218543,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00218,0.3605960264900662,PASS,,A_OK,PASS,,0.40066225165562913,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00219,0.6437086092715232,PASS,,A_OK,PASS,,0.7152317880794702,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00220,0.3586092715231788,PASS,,A_OK,PASS,,0.3984547461368653,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00221,0.2185430463576159,PASS,,A_OK,PASS,,0.24282560706401765,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00222,0.32980132450331123,PASS,,A_OK,PASS,,0.36644591611479027,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00223,0.5841059602649007,PASS,,A_OK,PASS,,0.6490066225165563,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00224,0.5880794701986756,PASS,,A_OK,PASS,,0.6534216335540839,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00225,0.24437086092715232,PASS,,A_OK,PASS,,0.271523178807947,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00226,0.24635761589403976,PASS,,A_OK,PASS,,0.2737306843267108,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
C00227,0.48476821192052977,PASS,,A_OK,PASS,,0.5386313465783664,,168,COMPLETE_4_EPOCH,ModuleA-FINAL01,SIH26170-FINAL-01
